Exchange,Crypto,Quote,Price,Conversion_Rate
Binance,1INCH,usdt,0.4267,1 1INCH = 0.42670000 USDT
Binance,AAVE,usdt,88.17,1 AAVE = 88.17000000 USDT
Binance,ACH,usdt,0.01892,1 ACH = 0.01892000 USDT
Binance,ADA,usdt,0.5418,1 ADA = 0.54180000 USDT
Binance,ADA,eth,0.0002164,1 ADA = 0.00021640 ETH
Binance,ADA,usdc,0.5405,1 ADA = 0.54050000 USDC
Binance,ADX,usdt,0.1833,1 ADX = 0.18330000 USDT
Binance,ALGO,usdt,0.1755,1 ALGO = 0.17550000 USDT
Binance,ALICE,usdt,1.18,1 ALICE = 1.18000000 USDT
Binance,ALPINE,usdt,2.119,1 ALPINE = 2.11900000 USDT
Binance,ANKR,usdt,0.025,1 ANKR = 0.02500000 USDT
Binance,ANT,usdt,6.482,1 ANT = 6.48200000 USDT
Binance,APE,usdt,1.42,1 APE = 1.42000000 USDT
Binance,API3,usdt,3.191,1 API3 = 3.19100000 USDT
Binance,APT,usdt,9.1991,1 APT = 9.19910000 USDT
Binance,ARB,usdt,1.985,1 ARB = 1.98500000 USDT
Binance,ASTR,usdt,0.1843,1 ASTR = 0.18430000 USDT
Binance,ATOM,usdt,10.039,1 ATOM = 10.03900000 USDT
Binance,AUDIO,usdt,0.1937,1 AUDIO = 0.19370000 USDT
Binance,AVAX,usdt,38.3,1 AVAX = 38.30000000 USDT
Binance,AXL,usdt,1.149,1 AXL = 1.14900000 USDT
Binance,AXS,usdt,7.51,1 AXS = 7.51000000 USDT
Binance,BAL,usdt,3.656,1 BAL = 3.65600000 USDT
Binance,BAND,usdt,1.93,1 BAND = 1.93000000 USDT
Binance,BAT,usdt,0.229,1 BAT = 0.22900000 USDT
Binance,BCH,usdt,250.3,1 BCH = 250.30000000 USDT
Binance,BICO,usdt,0.38,1 BICO = 0.38000000 USDT
Binance,BLUR,usdt,0.632,1 BLUR = 0.63200000 USDT
Binance,BNB,usdt,323.3,1 BNB = 323.30000000 USDT
Binance,BNT,usdt,0.75,1 BNT = 0.75000000 USDT
Binance,BOND,usdt,3.44,1 BOND = 3.44000000 USDT
Binance,BOSON,usdt,0.2156,1 BOSON = 0.21560000 USDT
Binance,BTC,usdt,47195.69,1 BTC = 47195.69000000 USDT
Binance,BTC,usdc,47263.95,1 BTC = 47263.95000000 USDC
Binance,BTRST,usdt,0.862,1 BTRST = 0.86200000 USDT
Binance,BUSD,usdt,0.9993,1 BUSD = 0.99930000 USDT
Binance,CELO,usdt,0.724,1 CELO = 0.72400000 USDT
Binance,CELR,usdt,0.01863,1 CELR = 0.01863000 USDT
Binance,CHZ,usdt,0.10329,1 CHZ = 0.10329000 USDT
Binance,CLV,usdt,0.05294,1 CLV = 0.05294000 USDT
Binance,COMP,usdt,55.19,1 COMP = 55.19000000 USDT
Binance,COTI,usdt,0.10025,1 COTI = 0.10025000 USDT
Binance,CRV,usdt,0.5031,1 CRV = 0.50310000 USDT
Binance,CTSI,usdt,0.2923,1 CTSI = 0.29230000 USDT
Binance,CUDOS,usdt,0.015089,1 CUDOS = 0.01508900 USDT
Binance,DAI,usdt,0.9952,1 DAI = 0.99520000 USDT
Binance,DAR,usdt,0.10973,1 DAR = 0.10973000 USDT
Binance,DASH,usdt,27.96,1 DASH = 27.96000000 USDT
Binance,DGB,usdt,0.00819,1 DGB = 0.00819000 USDT
Binance,DIA,usdt,0.4434,1 DIA = 0.44340000 USDT
Binance,DOGE,usdt,0.08164,1 DOGE = 0.08164000 USDT
Binance,DOT,usdt,7.245,1 DOT = 7.24500000 USDT
Binance,EGLD,usdt,55.55,1 EGLD = 55.55000000 USDT
Binance,ENJ,usdt,0.3119,1 ENJ = 0.31190000 USDT
Binance,ENS,usdt,21.22,1 ENS = 21.22000000 USDT
Binance,EOS,usdt,0.744,1 EOS = 0.74400000 USDT
Binance,ETC,usdt,25.94,1 ETC = 25.94000000 USDT
Binance,ETH,usdt,2488.28,1 ETH = 2488.28000000 USDT
Binance,ETH,usdc,2500.11,1 ETH = 2500.11000000 USDC
Binance,ETH,busd,2356.47,1 ETH = 2356.47000000 BUSD
Binance,ETH,btc,0.05278,1 ETH = 0.05278000 BTC
Binance,ETH,usd,1595.49,1 ETH = 1595.49000000 USD
Binance,ETH,dai,2630.84,1 ETH = 2630.84000000 DAI
Binance,ETH,usdt,2488.28,1 ETH = 2488.28000000 USDT
Binance,ETH,usdc,2500.11,1 ETH = 2500.11000000 USDC
Binance,FET,usdt,0.6066,1 FET = 0.60660000 USDT
Binance,FIL,usdt,5.483,1 FIL = 5.48300000 USDT
Binance,FLOKI,usdt,3.129e-05,1 FLOKI = 0.00003129 USDT
Binance,FLOKI8,usdt,5e-05,1 FLOKI8 = 0.00005000 USDT
Binance,FLOW,usdt,0.814,1 FLOW = 0.81400000 USDT
Binance,FLUX,usdt,0.603,1 FLUX = 0.60300000 USDT
Binance,FORT,usdt,0.1179,1 FORT = 0.11790000 USDT
Binance,FORTH,usdt,3.194,1 FORTH = 3.19400000 USDT
Binance,FTM,usdt,0.3991,1 FTM = 0.39910000 USDT
Binance,GAL,usdt,2.14,1 GAL = 2.14000000 USDT
Binance,GALA,usdt,0.0243,1 GALA = 0.02430000 USDT
Binance,GLM,usdt,0.2115,1 GLM = 0.21150000 USDT
Binance,GRT,usdt,0.1673,1 GRT = 0.16730000 USDT
Binance,GTC,usdt,1.2,1 GTC = 1.20000000 USDT
Binance,HBAR,usdt,0.0795,1 HBAR = 0.07950000 USDT
Binance,HNT,usdt,1.27,1 HNT = 1.27000000 USDT
Binance,ICP,usdt,12.814,1 ICP = 12.81400000 USDT
Binance,ICX,usdt,0.2286,1 ICX = 0.22860000 USDT
Binance,ILV,usdt,86.24,1 ILV = 86.24000000 USDT
Binance,IMX,usdt,2.4816,1 IMX = 2.48160000 USDT
Binance,IOST,usdt,0.00876,1 IOST = 0.00876000 USDT
Binance,IOTA,usdt,0.2598,1 IOTA = 0.25980000 USDT
Binance,JAM,usdt,0.001142,1 JAM = 0.00114200 USDT
Binance,JASMY,usdt,0.004962,1 JASMY = 0.00496200 USDT
Binance,KAVA,usdt,0.731,1 KAVA = 0.73100000 USDT
Binance,KDA,usdt,1.123,1 KDA = 1.12300000 USDT
Binance,KNC,usdt,0.5965,1 KNC = 0.59650000 USDT
Binance,KSM,usdt,42.0,1 KSM = 42.00000000 USDT
Binance,LAZIO,usdt,2.443,1 LAZIO = 2.44300000 USDT
Binance,LDO,usdt,2.991,1 LDO = 2.99100000 USDT
Binance,LINK,usdt,18.439,1 LINK = 18.43900000 USDT
Binance,LOKA,usdt,0.2185,1 LOKA = 0.21850000 USDT
Binance,LOOM,usdt,0.08974,1 LOOM = 0.08974000 USDT
Binance,LPT,usdt,7.52,1 LPT = 7.52000000 USDT
Binance,LRC,usdt,0.2417,1 LRC = 0.24170000 USDT
Binance,LSK,usdt,1.399,1 LSK = 1.39900000 USDT
Binance,LTC,usdt,70.74,1 LTC = 70.74000000 USDT
Binance,LTO,usdt,0.082,1 LTO = 0.08200000 USDT
Binance,MANA,usdt,0.469,1 MANA = 0.46900000 USDT
Binance,MASK,usdt,3.52,1 MASK = 3.52000000 USDT
Binance,MATIC,usdt,0.8528,1 MATIC = 0.85280000 USDT
Binance,MATIC,eth,0.0003442,1 MATIC = 0.00034420 ETH
Binance,MKR,usdt,1948.0,1 MKR = 1948.00000000 USDT
Binance,MXC,usdt,0.00924,1 MXC = 0.00924000 USDT
Binance,NEAR,usdt,3.016,1 NEAR = 3.01600000 USDT
